country_code,year,political_stability,gdp_per_capita
DNK,2021,0.8409469,69340.7334922138
DNK,2022,0.8416401,67781.0940939514
DOM,2015,0.1170524,6800.95309395474
DOM,2016,0.1555826,7160.44200982307
DOM,2017,0.0918722,7412.71571571512
DOM,2018,0.0030759,7882.98221584944
DOM,2019,0.0515231,8183.01623600375
DOM,2020,0.2361204,7135.22273255899
DOM,2021,0.3502987,8527.0754858205
DOM,2022,0.4914554,10104.2449349081
DZA,2015,-1.049624,4685.05902729002
DZA,2016,-1.12458449999999,4424.98529027556
DZA,2017,-0.929504599999999,4554.66753957828
DZA,2018,-0.6370211,4577.21029180491
DZA,2019,-1.06252749999999,4468.45341883656
DZA,2020,-0.883733299999999,3743.5419522929
DZA,2021,-0.9009933,4160.55926736925
DZA,2022,-0.8074555,4960.30334332888
EAP,2015,,6589.77076427462
EAP,2016,,6683.18386700353
EAP,2017,,7241.92533864361
EAP,2018,,8045.94630458507
EAP,2019,,8286.3981179292
EAP,2020,,8391.27634645494
EAP,2021,,9974.57829690175
EAP,2022,,10106.9935977814
EAR,2015,,3174.36962020929
EAR,2016,,3223.9805446069
EAR,2017,,3457.64943157186
EAR,2018,,3463.50882263374
EAR,2019,,3483.31545469615
EAR,2020,,3187.03781234801
EAR,2021,,3698.98363187847
EAR,2022,,4043.82776331568
EAS,2015,,9691.70576095154
EAS,2016,,9965.00400107685
EAS,2017,,10566.2828244863
EAS,2018,,11438.8584591418
EAS,2019,,11622.8915284736
EAS,2020,,11639.4853357389
EAS,2021,,13336.4841670883
EAS,2022,,13139.2109813612
ECA,2015,,6291.45594655745
ECA,2016,,5986.89723080084
ECA,2017,,6138.12063922999
ECA,2018,,5996.28775888893
ECA,2019,,6069.27407282315
ECA,2020,,5776.19343817718
ECA,2021,,6673.97429035651
ECA,2022,,7266.02243154199
ECS,2015,,22702.8228380066
ECS,2016,,22519.6408855547
ECS,2017,,23814.1197034605
ECS,2018,,25408.6379771601
ECS,2019,,25020.8648271756
ECS,2020,,24167.3551199699
ECS,2021,,27664.8914080918
ECS,2022,,27913.5882331645
ECU,2015,-0.1822625,5976.1596805651
ECU,2016,-0.1672879,5917.63771271481
ECU,2017,-0.1273984,6233.32244797718
ECU,2018,-0.0672488,6303.91886658338
ECU,2019,-0.209832,6205.05765246766
ECU,2020,-0.1513823,5463.64515348598
ECU,2021,-0.1983083,6061.32350181711
ECU,2022,-0.2336288,6515.58528418336
EGY,2015,-1.5178167,3306.98159414141
EGY,2016,-1.5399732,3270.6287768197
EGY,2017,-1.4711477,2395.10333299491
EGY,2018,-1.26200959999999,2484.70315630508
EGY,2019,-1.19692089999999,2962.98892023003
EGY,2020,-1.1172787,3511.11381026379
EGY,2021,-1.066781,3827.35415374308
EGY,2022,-0.9542974,4233.30783744856
EMU,2015,,34471.1747135027
EMU,2016,,35228.4854539428
EMU,2017,,37243.5651015997
EMU,2018,,40107.5362854643
EMU,2019,,39220.5136743355
EMU,2020,,38236.5543048506
EMU,2021,,42984.5697414154
EMU,2022,,41608.7123275598
ERI,2015,-0.7893504,
ERI,2016,-0.7487988,
ERI,2017,-0.834184199999999,
ERI,2018,-0.9260353,
ERI,2019,-0.9764301,
ERI,2020,-1.0705711,
ERI,2021,-1.02707899999999,
ERI,2022,-1.0696541,
ESP,2015,0.4353383,25982.4416197775
ESP,2016,0.425985,26755.6061149398
ESP,2017,0.280621,28381.3425596906
ESP,2018,0.3346558,30602.4212881113
ESP,2019,0.267048,29786.5245689007
ESP,2020,0.2956928,27233.9426461608
ESP,2021,0.38323,30799.4775937775
ESP,2022,0.1569762,30319.4987196616
EST,2015,0.8918499,17722.1557669523
EST,2016,0.8731492,18666.3736521706
EST,2017,0.8425161,20851.5223496861
EST,2018,0.7988248,23618.1361254581
EST,2019,0.8235862,24021.2501413306
EST,2020,0.9178902,23933.9939421065
EST,2021,0.8879044,27951.1659277744
EST,2022,0.8742633,28340.3826549406
ETH,2015,-1.26354339999999,597.912113218663
ETH,2016,-1.43965759999999,641.651523286233
ETH,2017,-1.5195725,696.348429076216
ETH,2018,-1.2054246,739.702022272086
ETH,2019,-1.1789771,793.473247210264
ETH,2020,-1.5934093,829.790982547947
ETH,2021,-2.0139565,893.00983544905
ETH,2022,-1.8659545,982.103161506992
EUU,2015,,30771.6568591261
EUU,2016,,31456.8971280656
EUU,2017,,33394.5888043692
EUU,2018,,36054.953230113
